,w,tc,stc,2010_7,2010,2013_7,2013,2016_7,2016,2010,2011,2012,2013,2014,2015,2006,2007,2008
299,cancer_risk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,kuwait,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,failaka_island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,gulf_war,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,natur_radioact,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,deplet_uranium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,disast,298,2,21,21,23,23,2,23,2,1,0,0,0,0,23,23,2
306,nurs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307,intens_care,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,emerg_respons,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309,manmad_disast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,critic_care_nurs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,winter_storm_hazard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,emerg_prepared,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,emerg_manag,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,scenario,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,arkstorm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,chile,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
